"都道府県コード又は市区町村コード","NO（※システム内の固有の番号、連番）","指定機関名","法人の名称","法人の名称_かな","法人番号","法人住所（市区町村）","法人住所（番地以降）","法人電話番号","法人FAX番号","法人URL","サービス種別","事業所の名称","事業所の名称_かな","事業所番号","事業所住所（市区町村）","事業所住所（番地以降）","事業所電話番号","事業所FAX番号","事業所URL","事業所緯度","事業所経度","利用可能な時間帯（平日）","利用可能な時間帯（土曜）","利用可能な時間帯（日曜）","利用可能な時間帯（祝日）","定休日","利用可能曜日特記事項（留意事項）","定員"
"01100","A0000041524","札幌市","社会福祉法人　緑伸会","しゃかいふくしほうじんりょくしんかい","2430005013423","北海道札幌市中央区","札幌市中央区南２２条西９丁目１番３６号クリエイトビル","011-688-7945","011-688-7945","https://ryoku-sin.or.jp/","宿泊型自立訓練","ぴあ山鼻","ぴあやまはな","0110103645","北海道札幌市中央区","札幌市中央区","011-206-4984","011-206-4985","https://ryoku-sin.or.jp/",43.06144807,141.35373725,"","","","",,,10
"01000","E0000004165","北海道","社会福祉法人　北海道社会福祉事業団","しゃかいふくしほうじんほっかいどうしゃかいふくしじぎょうだん","3430005000676","北海道札幌市中央区","大通西５丁目１１番地大五ビル6階","011-271-5531","011-271-5539","http://www.dofukuji.or.jp/","宿泊型自立訓練","だて地域生活支援センター　旭寮","だてちいきせいかつしえんせんたーあさひりょう","0113700652","北海道伊達市","舟岡町134番地15Asahi","0142-82-6803","0142-23-0836","http://www.dofukuji.or.jp/facilities/date_shien/",42.46213311,140.88079176,"","","","",,,10
"01100","A0000017211","札幌市","札幌福祉就労支援センター","さっぽろふくししゅうろうしえんせんたー","5430005011135","北海道札幌市東区","北３3条東１７丁目4-18","011-786-3466","011-788-2602","https://www.sapporo-hukushi.jp/","宿泊型自立訓練","ライフケア・道　新道館","らいふけあみちしんどうかん","0110301264","北海道札幌市東区","北三十三条東北３３条東１７丁目４番２５号","011-214-0538","011-214-0539","https://www.sapporo-hukushi.jp/",43.10239590,141.35851729,"","","","",,,17
"01100","E0000000931","札幌市","札幌福祉就労支援センター","さっぽろふくししゅうろうしえんせんたー","5430005011135","北海道札幌市東区","北３3条東１７丁目4-18","011-786-3466","011-788-2602","https://www.sapporo-hukushi.jp/","宿泊型自立訓練","ライフケア・道","らいふけあみち","0110300902","北海道札幌市東区","北３０条東２０丁目２番１６号","011-790-6300","011-790-6304","https://www.sapporo-hukushi.jp/",43.09943880,141.36295110,"","","","",,,18
"01100","E0000002129","札幌市","社会福祉法人　ＨＯＰ","しゃかいふくしほうじんえいちおーぴー","4430005003901","北海道札幌市東区","北十四条東１４丁目２番５号","011-299-2032","011-299-2033","https://www.hop.or.jp/","宿泊型自立訓練","りんくす","りんくす","0110700531","北海道札幌市西区","発寒５条５丁目９番８号","011-676-6751","011-676-6752",,43.08775660,141.29061380,"","","","",,,12
"01100","E0000001682","札幌市","社会福祉法人　青十字サマリヤ会","しゃかいふくしほうじんあおじゅうじさまりやかい","1430005005363","北海道札幌市南区","藤野四条３丁目８−１８青十字サマリヤ館","011-591-1921","011-591-8414","http://samariyakai.com","宿泊型自立訓練","青十字サマリヤ館","あおじゅうじさまりやかん","0110502986","北海道札幌市南区","藤野４条３丁目８番１８号青十字サマリヤ館","011-591-1921","011-591-5609","http://samariyakai.com",42.95754405,141.30673450,"","","","",,,12
"01100","E0000002006","札幌市","特定医療法人　さっぽろ悠心の郷","とくていいりょうほうじんさっぽろゆうしんのさと","7430005001506","北海道札幌市南区","常盤３条１丁目６番１号ときわ病院","011-591-4711","011-591-0922","http://www.tokiwahp.jp/","宿泊型自立訓練","リハビリハウス輪","りはびりはうすりん","0110600103","北海道札幌市南区","常盤３条１丁目６番１号","011-591-4752","011-591-4752","http://www.tokiwahp.jp/",42.94398650,141.34471080,"","","","",,,20
"01100","E0000001486","札幌市","社会福祉法人　札幌報恩会","しゃかいふくしほうじんさっぽろほうおんかい","1430005000653","北海道札幌市厚別区","厚別町上野幌822番地","011-891-2020","011-891-2021","https://www.hoon.or.jp/","宿泊型自立訓練","のぞみ寮","のぞみりょう","0110501186","北海道札幌市厚別区","厚別町上野幌８２２番地","011-892-0730","011-892-0735","https://www.hoonkai.com/",43.01607090,141.48127880,"","","","",,,20
"01202","E0000002690","函館市","社会福祉法人　函館恭北会","しゃかいふくしほうじんはこだてきょうほくかい","8440005000381","北海道函館市","東畑町１４１番地１３","0138-58-1985","0138-58-1983","https://kyouhoku.jimdo.com","宿泊型自立訓練","トータスホーム","とーたすほーむ","0111400388","北海道函館市","東畑町１４１番地１３","0138-58-1982","0138-58-1983","https://kyouhoku.jimdo.com/",41.80540290,140.87977420,"","","","",,,20
"01000","E0000003018","北海道","社会福祉法人　塩谷福祉会","しゃかいふくしほうじんしおやふくしかい","3430005007762","北海道小樽市","塩谷４丁目７２番地","0134-26-1098","0134-26-2440","http://shioya408.sakura.ne.jp/","宿泊型自立訓練","せせらぎ","せせらぎ","0112000336","北海道小樽市","塩谷４丁目７２番地","0134-26-1098","0134-26-2440",,43.19658450,140.93353780,"","","","",,,14
"01204","E0000003457","旭川市","医療法人社団　圭泉会","いりょうほうじんしゃだんけいせんかい","7450005000316","北海道旭川市","東旭川町下兵村252番地旭川圭泉会病院","0166-36-1559","0166-36-4193","http://www.keisenkai.or.jp/","宿泊型自立訓練","宿泊型自立訓練事業所　なかま","しゅくはくがたじりつくんれんじぎょうしょ","0112907308","北海道旭川市","東旭川町下兵村２５１番１３宿泊型自立訓練事業所　なかま","0166-36-6630","0166-36-4193",,43.77077640,142.36474360,"","","","",,,29
"01000","E0000004659","北海道","社会福祉法人　慧誠会","しゃかいふくしほうじんけいせいかい","1460105000451","北海道帯広市","西13条南１５丁目４番地１遊学館「つ・な・ぐー」","0155-67-0851","0155-67-0852","http://www.keisei-kai.jp/","宿泊型自立訓練","多機能型事業所稲田館　自立訓練ステップ","たきのうがたじぎょうしょいなだかんじりつくんれんすてっぷ","0114600877","北海道帯広市","西十三条南４０丁目１−１３","0155-67-1881","0155-67-1878",,42.88398939,143.18941904,"","","","",,,10
"01000","A0000037200","北海道","株式会社　クリーンリースウェルフェア","かぶしきかいしゃくりーんりーすうぇるふぇあ","4460301004344","北海道北見市","豊地２６番地１３","0157-36-4121","0157-36-4122",,"宿泊型自立訓練","宿泊型自立訓練　ニューカトレア","しゅくはくがたじりつくんれんにゅーかとれあ","0111001491","北海道江別市","文京台２５−２","011-375-3980","011-398-3969",,43.06636308,141.49205543,"","","","",,,
"01000","E0000004067","北海道","医療法人社団　玄洋会","いりょうほうじんしゃだんげんようかい","6430005008782","北海道苫小牧市","字樽前２３４番地道央佐藤病院","0144-67-0236","0144-67-3125","http://www.douousatou.or.jp/","宿泊型自立訓練","マイランドリー　Ⅱ","まいらんどりーつー","0113601876","北海道苫小牧市","樽前２３４−２４","0144-61-7100","0144-61-7110","http://www.douousatou.or.jp/",42.59626440,141.42696470,"","","","",,,10
