"都道府県コード又は市区町村コード","NO（※システム内の固有の番号、連番）","指定機関名","法人の名称","法人の名称_かな","法人番号","法人住所（市区町村）","法人住所（番地以降）","法人電話番号","法人FAX番号","法人URL","サービス種別","事業所の名称","事業所の名称_かな","事業所番号","事業所住所（市区町村）","事業所住所（番地以降）","事業所電話番号","事業所FAX番号","事業所URL","事業所緯度","事業所経度","利用可能な時間帯（平日）","利用可能な時間帯（土曜）","利用可能な時間帯（日曜）","利用可能な時間帯（祝日）","定休日","利用可能曜日特記事項（留意事項）","定員"
"01000","A0000010956","北海道","北海道","ほっかいどう","7000020010006","北海道札幌市中央区","北三条西６丁目","011-204-5080","011-232-4068","http://www.pref.hokkaido.lg.jp","医療型障害児入所施設","北海道立旭川肢体不自由児総合療育センター","ほっかいどうりつあさひかわしたいふじゆうじそうごうりょういくせんたー","0152901724","北海道旭川市","春光台２条1丁目1番43号","0166-51-2126","0166-51-2126","http://www.pref.hokkaido.lg.jp/hf/asc/kyokuryotop.htm",43.81070519,142.35226694,"","","","",,,80
"01100","E0000009592","札幌市","北海道","ほっかいどう",,"北海道札幌市中央区","北３条西６丁目","011-231-4111","011-232-4109","https://hospital.hokkaido.jp/","医療型障害児入所施設","北海道立子ども総合医療・療育センター","ほっかいどうりつこどもそうごういりょうりょういくせんたー","0150401719","北海道札幌市手稲区","金山１条１丁目240番６","011-691-5696","011-691-1000","https://kodomo.hospital.hokkaido.jp/",43.12870511,141.21105579,"","","","",,,110
"01100","E0000009708","札幌市","社会福祉法人北翔会","しゃかいふくしほうじんほくしょうかい","6430005000599","北海道札幌市白石区","川北２２５４番地１","011-879-5555","011-879-5533","https://hokushokai.com/","医療型障害児入所施設","医療福祉センター札幌あゆみの園","いりょうふくしせんたーさっぽろあゆみのその","0150502011","北海道札幌市白石区","川北２２５４番地１医療福祉センター札幌あゆみの園","011-879-5555","011-879-5511","http://www.hokushokai.com/",43.07140791,141.43928755,"","","","",,,184
"01100","E0000009593","札幌市","社会福祉法人　札幌緑花会","しゃかいふくしほうじんさっぽろりょっかかい","8430005000671","北海道札幌市西区","山の手三条１２丁目３番１２号","011-611-9301","011-621-7404","http://www.ryokkakai.or.jp/inquiry/","医療型障害児入所施設","緑ヶ丘療育園","みどりがおかりょういくえん","0150402022","北海道札幌市西区","山の手３条１２丁目３−１２","011-611-9301","011-621-7404",,43.06429534,141.28815363,"","","","",,,160
"01000","A0000029787","北海道","社会福祉法人恩賜財団済生会支部北海道済生会","しゃかいふくしほうじんおんしざいだんさいせいかいしぶほっかいどうさいせいかい","3010405001696","北海道小樽市","築港１０番１号","0134-25-4321","0134-25-2888",,"医療型障害児入所施設","社会福祉法人恩賜財団済生会支部北海道済生会小樽病院みどりの里","しゃかいふくしほうじんおんしざいだんさいせいかいしぶほっかいどうさいせいかいおたるびょういんみどりのさと","0152002051","北海道小樽市","築港１０番１号","0134325131","0134292164","http://www.saisei-nishiotaru.jp",43.18414009,141.01893241,"","","","",,,120
"01000","A0000010958","北海道","社会福祉法人　北海道療育園","しゃかいふくしほうじんほっかいどうりょういくえん","2450005000270","北海道旭川市","春光台４条１０丁目","0166-51-6524","0166-51-6871","http://www.hokuryo.or.jp/","医療型障害児入所施設","北海道療育園","ほっかいどうりょういくえん","0152902045","北海道旭川市","春光台４条10丁目","0166-51-6524",,"http://www.hokuryo.or.jp/",43.82981505,142.36818090,"","","","",,,336
"01000","A0000018509","北海道","社会福祉法人　北海道療育園","しゃかいふくしほうじんほっかいどうりょういくえん","2450005000270","北海道旭川市","春光台４条１０丁目","0166-51-6524","0166-51-6871","http://www.hokuryo.or.jp/","医療型障害児入所施設","美幌療育病院","びほろりょういくびょういん","0155202062","北海道網走郡美幌町","美富（その他）９番地","0152-73-3145","0152-73-5298",,43.81576555,144.10257788,"","","","",,,120
"02000","E0000013450","青森県","青森県","あおもりけん","2000020020001","青森県青森市","長島一丁目1-1","017-722-1111",,"http://www.pref.aomori.lg.jp/","医療型障害児入所施設","青森県立はまなす医療療育センター","あおもりけんりつはまなすいりょうりょういくせんたー","0250330024","青森県八戸市","大字大久保字大塚１７ー７２９","0178-31-5005","0178-31-4144",,40.49119592,141.56401854,"","","","",,,42
"02000","E0000013453","青森県","青森県","あおもりけん","2000020020001","青森県青森市","長島一丁目1-1","017-722-1111",,"http://www.pref.aomori.lg.jp/","医療型障害児入所施設","青森県立はまなす医療療育センター","あおもりけんりつはまなすいりょうりょういくせんたー","0250350022","青森県八戸市","大字大久保字大塚１７ー７２９","0178-31-5005","0178-31-4144",,40.49119592,141.56401854,"","","","",,,40
"03000","A0000043747","岩手県","岩手県","いわてけん",,"岩手県盛岡市","内丸10-1","019-629-5446","019-629-5454",,"医療型障害児入所施設","岩手県立療育センター","いわてけんりつりょういくせんたー","0350100038","岩手県紫波郡矢巾町","医大通り二丁目１番３号","019-601-2777","019-697-3900","http://www.i-ryouiku.jp/",39.61870404,141.16321943,"","","","",,,60
