"都道府県コード又は市区町村コード","NO（※システム内の固有の番号、連番）","指定機関名","法人の名称","法人の名称_かな","法人番号","法人住所（市区町村）","法人住所（番地以降）","法人電話番号","法人FAX番号","法人URL","サービス種別","事業所の名称","事業所の名称_かな","事業所番号","事業所住所（市区町村）","事業所住所（番地以降）","事業所電話番号","事業所FAX番号","事業所URL","事業所緯度","事業所経度","利用可能な時間帯（平日）","利用可能な時間帯（土曜）","利用可能な時間帯（日曜）","利用可能な時間帯（祝日）","定休日","利用可能曜日特記事項（留意事項）","定員"
"01100","A0000049736","札幌市","一般社団法人　北海道社会福祉センター","いっぱんしゃだんほうじんほっかいどうしゃかいふくしせんたー","1430005013465","北海道札幌市中央区","南一条西１１丁目３２７−４南一条西１１丁目３２７−４　シティセンタービル１F","011-522-9370","011-522-9371","https://tio-sapporo.jp","就労定着支援","ティオ中央区役所前","てぃおちゅうおうくやくしょまえ","0110103587","北海道札幌市中央区","南１条西１１丁目３２７−４シティセンタービル１階１０１号室","011-522-9370","011-522-9371",,43.05528160,141.34107760,"09:00-18:00","09:00-18:00","","09:00-18:00","日曜日",,
"01100","A0000031097","札幌市","医療法人社団　健心会","いりょうほうじんしゃだんけんしんかい","2430005001709","北海道札幌市中央区","北12条西15丁目1番30号桑園病院","011-716-2497","011-716-2358","http://www.soen-hosp.com","就労定着支援","ソエル","そえる","0110101912","北海道札幌市中央区","北１２条西１５丁目１番８号","011-716-5711","011-716-5712",,43.07329574,141.32985506,"09:00-17:00","","","","土、日、祝、6/15、8/15、12/29〜1/3　は　非営業日",,
"01100","A0000019609","札幌市","花水木","はなみずき","4430005011862","北海道札幌市中央区","南１条東２丁目６大通バスセンタービル２号館５階","011-215-0771","011-218-8889","http://www.kokoro-shinryojo.com/","就労定着支援","イーストサイド","いーすとさいど","0110102134","北海道札幌市中央区","南一条東２丁目６大通バスセンタービル２号館５階","011-206-0866","011-218-8889","http://www.hanamizuki-sapporo.com/eastside",43.06073443,141.35846747,"09:00-17:00","00:00-00:00","00:00-00:00","00:00-00:00","土日祝日・年末年始","なし",
"01100","A0000066787","札幌市","株式会社イノベイト","かぶしきかいしゃいのべいと","3430001062613","北海道札幌市中央区","南４条西７丁目５番地１　サウス４７ﾋﾞﾙ７F","011-206-1790","011-206-1791","http://innovate.co.jp/biz/sitemap.html","就労定着支援","イノベイト","いのべいと","0110101805","北海道札幌市中央区","南４条西７丁目５番地１サウス４７ビル７Ｆ","011-206-1790","011-206-1791","https://www.innovate.co.jp/",43.05458473,141.34758817,"09:30-18:00","09:30-18:00","09:30-18:00","","年末年始・その他を休業とする場合がある",,
"01100","A0000001798","札幌市","株式会社　エニシィング","かぶしきがいしゃえにしぃんぐ","4430001030718","北海道札幌市中央区","南８条西４丁目４２２グランドパークビル８階","011-218-8805","011-518-1871","http://www.enising.co.jp/","就労定着支援","ジョブサ札幌","じょぶささっぽろ","0110101631","北海道札幌市中央区","南１条西９丁目１番地１５井門札幌Ｓ１０９ビル２階Ｈ号室","011-281-1125","011-281-1126","",43.05746206,141.34446881,"10:00-18:30","","","","日曜、祝日","土曜日は不定期",
"01100","A0000021217","札幌市","株式会社　プラスアルファ","かぶしきがいしゃぷらすあるふぁ","0430001074538","北海道札幌市中央区","南11条西13丁目1番３２号","011-211-6324","011-213-0361","http://www.plusalpha-corp.jp","就労定着支援","マイ・スタイル元町事業所","まいすたいるもとまちじぎょうしょ","0110301025","北海道札幌市東区","北２４条東１６丁目１−４ロイヤル元町２Ｆ","011-769-9590","011-769-9591","http://www.plusalpha-corp.jp/",43.09454468,141.37196390,"10:00-18:00","10:00-18:00","","","日祝",,
"01100","A0000035857","札幌市","株式会社　プラスアルファ","かぶしきがいしゃぷらすあるふぁ","0430001074538","北海道札幌市中央区","南11条西13丁目1番３２号","011-211-6324","011-213-0361","http://www.plusalpha-corp.jp","就労定着支援","マイ・スタイル大通事業所","まいすたいるおおどおりじぎょうしょ","0110103405","北海道札幌市中央区","南１条西５丁目１６　プレジデント松井ビル１００　６０４号室","011-213-1538","011-213-1539","https://plusalpha-corp.jp/",43.05897042,141.34979328,"10:00-15:00","10:00-15:00","00:00-00:00","00:00-00:00","日祝","なし",
"01100","A0000052327","札幌市","株式会社　プラスアルファ","かぶしきがいしゃぷらすあるふぁ","0430001074538","北海道札幌市中央区","南11条西13丁目1番３２号","011-211-6324","011-213-0361","http://www.plusalpha-corp.jp","就労定着支援","マイ・スタイル大通南事業所","まいすたいるおおどおりみなみじぎょうしょ","0110103736","北海道札幌市中央区","南４条西３丁目９北星ビル２Ｆ","011-596-7196","011-596-7197",,43.05594034,141.35360981,"10:00-15:00","10:00-15:00","","","日祝",,
"01100","A0000048646","札幌市","株式会社　よかず","かぶしきがいしゃよかず","1430001074214","北海道札幌市中央区","北五条西９丁目１１番地シャトーブラン５９　２階","011-374-8742","011-374-8743","https://tryze.biz/","就労定着支援","就労支援トライズさっぽろ駅前","しゅうろうしえんとらいずさっぽろえきまえ","0110204146","北海道札幌市北区","北６条西７丁目５−１１小貫印刷センタービル４Ｆ","011-374-8742","011-374-8743","http://tryze.biz/",43.09064420,141.34059480,"10:00-16:00","10:00-12:00","","","日・祝日",,
"01100","A0000053541","札幌市","株式会社　よかず","かぶしきがいしゃよかず","1430001074214","北海道札幌市中央区","北五条西９丁目１１番地シャトーブラン５９　２階","011-374-8742","011-374-8743","https://tryze.biz/","就労定着支援","就労支援トライズ　大通","しゅうろうしえんとらいずおおどおり","0110103595","北海道札幌市中央区","札幌市中央区ＭⅡビル　５Ｆ","011-252-7660","011-252-7661","",43.06144807,141.35373725,"","","","",,,
