"都道府県コード又は市区町村コード","NO（※システム内の固有の番号、連番）","指定機関名","法人の名称","法人の名称_かな","法人番号","法人住所（市区町村）","法人住所（番地以降）","法人電話番号","法人FAX番号","法人URL","サービス種別","事業所の名称","事業所の名称_かな","事業所番号","事業所住所（市区町村）","事業所住所（番地以降）","事業所電話番号","事業所FAX番号","事業所URL","事業所緯度","事業所経度","利用可能な時間帯（平日）","利用可能な時間帯（土曜）","利用可能な時間帯（日曜）","利用可能な時間帯（祝日）","定休日","利用可能曜日特記事項（留意事項）","定員"
"01000","A0000108530","北海道","特定非営利活動法人　ソルウェイズ","とくていひえいりかつどうほうじんそるうぇいず",,"北海道札幌市中央区","北十条西19丁目1-1越後屋ビル","011-839-1844","011-839-1844","http://solways.or.jp","保育所等訪問支援","保育所等訪問支援シンバ","ほいくしょとうほうもんしえんしんば","0157600271","北海道石狩市","花川南二条３丁目９１番地2","0133-62-8103","0133-77-6477",,43.15161899,141.29800845,"10:00-17:00","","","","土日祝日",,
"01100","A0000058658","札幌市","特定非営利活動法人　Ｎｏｒｄｌａｎｄ","とくていひえいりかつどうほうじんのるどらんど","3430005014156","北海道札幌市中央区","北一条西８丁目２番地７","011-600-1566","011-600-1567","https://nordland.or.jp/","保育所等訪問支援","ＮＰＯ法人Ｎｏｌｄｌａｎｄ　児童発達支援　マレーネ","えぬぴーおーほうじんのるどらんどじどうはったつしえんまれーね","0150102465","北海道札幌市中央区","北一条西８丁目２番地７","011-600-1566","011-600-1567","https://nordland.or.jp/",43.06076448,141.34492968,"09:15-17:00","","","","土曜、日曜、国民の休日、お盆、年末年始",,
"01100","A0000066859","札幌市","株式会社　北ゼミ","かぶしきがいしゃきたぜみ","9430001084791","北海道札幌市中央区","大通西１５丁目３番地５302","011-351-0025","011-351-0025","https://www.kitazemi.net","保育所等訪問支援","相談支援　北ゼミ","そうだんしえんきたぜみ","0150102499","北海道札幌市中央区","大通西１５丁目３番地５−３０２","011-351-0025","011-351-0025","https://www.kitazemi.net",43.06144807,141.35373725,"09:00-18:00","09:00-18:00","09:00-18:00","09:00-18:00",,"多機能事業所北ゼミのサービス提供時間に準じる",
"01100","A0000072887","札幌市","社会福祉法人　キッズランド・リラ","しゃかいふくしほうじんきっずらんどりら","5430005013692","北海道札幌市中央区","宮の森３条３丁目４番１８号","011-699-5899","011-624-5767","http://www.kidsland.co.jp/","保育所等訪問支援","こどもねっと　しんはっさむ","こどもねっとしんはっさむ","0150901080","北海道札幌市手稲区","新発寒１条１丁目１１２２−２７","011-676-8129","011-676-9829","http://www.kidsland.co.jp/",43.10571223,141.27013078,"17:00-19:00","17:00-19:00","","","日曜日・祝日・年末年始",,
"01100","A0000088926","札幌市","合同会社ワーシップ","ごうどうかいしゃわーしっぷ","4430003014371","北海道札幌市中央区","南５条西２４丁目１−２５−２０１札幌市中央区南6条西25丁目２−２ダイヤコート南円山１F","080-58351061","050-1180-8954",,"保育所等訪問支援","ぐーなっつ","ぐーなっつ","0150102689","北海道札幌市中央区","南六条西２５丁目２−２ダイヤコート南円山","090-94340072","050-1180-8954","https://gu-na-tsu.com",43.04967602,141.32163513,"","","","",,,
"01000","A0000037500","北海道","社会福祉法人北海道社会福祉事業団","しゃかいふくしほうじんほっかいどうしゃかいふくしじぎょうだん","3430005000676","北海道札幌市中央区","大通西５丁目１１番地大五ビル６階","011-271-5531","011-271-5539","http://www.dofukuji.or.jp/","保育所等訪問支援","胆振西部児童デイサービスセンター","いぶりせいぶじどうでいさーびすせんたー","0153701271","北海道伊達市","舟岡町３３４番地９あい・ぷらざ内２Ｆ","0142-23-5910","0142-23-5910",,42.46081103,140.87793128,"08:29-17:15","","","","国民の祝日に関する法律に規定する休日及び１２月２９日から翌１月３日まで",,
"01000","E0000010651","北海道","社会福祉法人北海道社会福祉事業団","しゃかいふくしほうじんほっかいどうしゃかいふくしじぎょうだん","3430005000676","北海道札幌市中央区","大通西５丁目１１番地大五ビル６階","011-271-5531","011-271-5539","http://www.dofukuji.or.jp/","保育所等訪問支援","釧路町児童発達支援センター","くしろちょうじどうはったつしえんせんたー","0154304455","北海道釧路郡釧路町","光和３丁目１０番地","0154-36-4780","0154-64-7921",,43.00484706,144.40177687,"09:00-17:00","","","","土、日、国民の休日、年末年始6日間程度、春・夏期期間３〜４日間程度",,
"01100","E0000009219","札幌市","札幌市","さっぽろし","9000020011002","北海道札幌市中央区","北１条西２丁目札幌市役所本庁舎","011-211-2111",,"https://www.city.sapporo.jp/","保育所等訪問支援","札幌市はるにれ学園","さっぽろしはるにれがくえん","0150101517","北海道札幌市中央区","北７条西２６丁目１−１","011-622-8650","011-622-8810","",43.06481012,141.31650668,"08:45-17:15","","","","土、日、祝日",,
"01100","E0000009307","札幌市","札幌市","さっぽろし","9000020011002","北海道札幌市中央区","北１条西２丁目札幌市役所本庁舎","011-211-2111",,"https://www.city.sapporo.jp/","保育所等訪問支援","札幌市みかほ整肢園","さっぽろしみかほせいしえん","0150202810","北海道札幌市東区","北１７条東５丁目２−１","011-731-5674","011-731-5673",,43.08299855,141.35890766,"08:45-17:15","","","","土、日、祝日",,
"01100","E0000009704","札幌市","札幌市","さっぽろし","9000020011002","北海道札幌市中央区","北１条西２丁目札幌市役所本庁舎","011-211-2111",,"https://www.city.sapporo.jp/","保育所等訪問支援","札幌市かしわ学園","さっぽろしかしわがくえん","0150501492","北海道札幌市豊平区","平岸４条１８丁目１−２１","011-824-1981","011-824-1996","https://www.city.sapporo.jp/kenko/iryo/chikutaku/chikutaku_4en_kasiwa.html",43.02048642,141.37112401,"08:45-17:15","","","","土曜　日曜　祝日",,
"01100","E0000009710","札幌市","札幌市","さっぽろし","9000020011002","北海道札幌市中央区","北１条西２丁目札幌市役所本庁舎","011-211-2111",,"https://www.city.sapporo.jp/","保育所等訪問支援","札幌市ひまわり整肢園","さっぽろしひまわりせいしえん","0150502821","北海道札幌市豊平区","平岸４条１８丁目１−２１","011-824-1922","011-824-1996","",43.02048642,141.37112401,"08:45-17:15","","","","土日祝日",,
"01100","E0000009227","札幌市","特定非営利活動法人　ジャイフル","とくていひえいりかつどうほうじんじゃいふる","1430005009604","北海道札幌市中央区","北２条東９丁目13-14三雄マンション２０１号","011-596-6555","011-596-0233","http://jyfld.info/","保育所等訪問支援","指定保育所等訪問支援　なえぼん","していほいくしょとうほうもんしえんなえぼん","0150101574","北海道札幌市中央区","北１条東５丁目１０番地高清館北１条ビル２階","011-596-6555","011-233-3729","http://jyfld.info/",43.06435366,141.36453344,"10:00-18:00","","","","土曜、日曜、祝日、12月29日から1月3日",,
"01100","A0000031035","札幌市","特定非営利活動法人はる","とくていひえいりかつどうほうじんはる","4430005012646","北海道札幌市中央区","南１６条西５丁目３−１３住地ビル２階","011-206-7659","011-206-7685",,"保育所等訪問支援","放課後等デイサービスえりく","ほうかごとうでいさーびすえりく","0150102085","北海道札幌市中央区","南１６条西５丁目３番１５号","011-215-1945","011-215-1946","",43.03850059,141.35268587,"","","","",,,
"01100","E0000009474","札幌市","医療法人トルチュ","いりょうほうじんとるちゅ","430005003461 ","北海道札幌市中央区","大通東３丁目１番１号トルチュビル","011-281-2811","011-281-2812","http://www.tortue-med.jp","保育所等訪問支援","児童発達支援事業所「たんぽぽ」","じどうはったつしえんじぎょうしょたんぽぽ","0150300069","北海道札幌市中央区","大通東３丁目１番１号トルチュビル４階","011-232-2727","011-232-2727","http://www.tortue-med.jp/tanpopo",43.06216768,141.36088941,"09:00-16:00","","","","土・日・祝日","なし",
"01100","A0000100443","札幌市","社会福祉法人　常徳会","しゃかいふくしほうじんじょうとくかい","9430005000571","北海道札幌市北区","新琴似４条９丁目１番１号","011-762-7457","011-762-7458","","保育所等訪問支援","児童発達支援事業所　てよる","じどうはったつしえんじぎょうしょてよる","0150503795","北海道札幌市豊平区","中の島二条１丁目３番１８号","011-842-4328","011-842-4320",,43.03773152,141.36179065,"09:00-16:00","","","","土、日、祝日、年末年始",,
"01100","A0000056512","札幌市","合同会社　ｆｕｎ","ごうどうがいしゃふぁん","7430003012331","北海道札幌市北区","拓北二条３丁目４−１５","011-215-5821",,,"保育所等訪問支援","すいっち","すいっち","0150901015","北海道札幌市手稲区","星置二条６丁目１−２５","011-215-5821","","",43.13549017,141.20333915,"09:00-18:00","09:00-18:00","","","日・祝日・年末年始・夏季",,
"01100","A0000091782","札幌市","合同会社　ｆｕｎ","ごうどうがいしゃふぁん","7430003012331","北海道札幌市北区","拓北二条３丁目４−１５","011-215-5821",,,"保育所等訪問支援","あるかな","あるかな","0150901163","北海道札幌市手稲区","曙七条1-7-3","011-688-8857",,"https://arcana2025.fun",43.13911886,141.23948680,"09:30-17:00","09:00-17:00","","","日祝日、夏季、年末年始",,
"01100","A0000137546","札幌市","合同会社　ｆｕｎ","ごうどうがいしゃふぁん","7430003012331","北海道札幌市北区","拓北二条３丁目４−１５","011-215-5821",,,"保育所等訪問支援","りんくる","りんくる","0150901379","北海道札幌市手稲区","星置一条３丁目４−５","011-590-1757",,"https://linkuru2025.fun",43.13368235,141.21165533,"09:30-17:30","09:00-15:00","","","日曜祝日",,
"01100","A0000090190","札幌市","合同会社　苺","ごうどうがいしゃいちご","6430003011334","北海道札幌市北区","屯田四条３丁目１０番１３号","011-773-7778","011-773-7779","","保育所等訪問支援","児童発達支援放課後等デイサービス　月寒いちご","じどうはったつしえんほうかごとうでいさーびすつきさむいちご","0150503738","北海道札幌市豊平区","月寒東三条３丁目２−６","011-857-1519","011-857-1509",,43.03880473,141.40075377,"","","","",,,
"01100","A0000114143","札幌市","合同会社おやこみらい","ごうどうがいしゃおやこみらい","2430003015818","北海道札幌市北区","北二十一条西４丁目２番１１号","07084129268","","","保育所等訪問支援","おやこのにじ","おやこのにじ","0150204642","北海道札幌市北区","北二十二条西４丁目２−２５ライオンズＭＳ北２２条　７０４","07084129268",,,43.08694724,141.33778693,"","","","",,"サービス提供日は、営業日以外で実施することもあります。",
"01100","A0000137508","札幌市","株式会社さくらフレンズ","かぶしきがいしゃさくらふれんず","5430001078632","北海道札幌市北区","北四十条西４丁目２番７号札幌Ｎ４０ビル６Ｆ","011-716-3987",,,"保育所等訪問支援","児童発達支援・放課後等デイサービス　ぴーす","じどうはったつしえんほうかごとうでいさーびすぴーす","0150204790","北海道札幌市北区","北四十条西４丁目２番７号札幌Ｎ４０ビル６Ｆ","011-716-3987",,,43.10801689,141.33877168,"","","","",,,
"01100","A0000081608","札幌市","特定非営利活動法人　札幌小凛の会","とくていひえいりかつどうほうじんさっぽろこりんのかい","7430005013344","北海道札幌市北区","あいの里４条３丁目５番２０号","080-6086-1126",,"https://korinsapporo.amebaownd.com","保育所等訪問支援","山ちゃんち　南あいの里","やまちゃんちみなみあいのさと","0150203917","北海道札幌市北区","南あいの里５丁目６番１０号グランディール１階","080-6086-1126",,,43.09064413,141.34059480,"","","","",,,
