"都道府県コード又は市区町村コード","NO（※システム内の固有の番号、連番）","指定機関名","法人の名称","法人の名称_かな","法人番号","法人住所（市区町村）","法人住所（番地以降）","法人電話番号","法人FAX番号","法人URL","サービス種別","事業所の名称","事業所の名称_かな","事業所番号","事業所住所（市区町村）","事業所住所（番地以降）","事業所電話番号","事業所FAX番号","事業所URL","事業所緯度","事業所経度","利用可能な時間帯（平日）","利用可能な時間帯（土曜）","利用可能な時間帯（日曜）","利用可能な時間帯（祝日）","定休日","利用可能曜日特記事項（留意事項）","定員"
"01000","A0000002874","北海道","社会福祉法人　北海道社会福祉事業団","しゃかいふくしほうじんほっかいどうしゃかいふくしじぎょうだん","3430005000676","北海道札幌市中央区","大通西５丁目１１番地大五ビル6階","011-271-5531","011-271-5539","http://www.dofukuji.or.jp/","福祉型障害児入所施設","北海道社会福祉事業団太陽の園　ひまわり学園","ほっかいどうしゃかいふくしじぎょうだんたいようのそのひまわりがくえん","0153701263","北海道伊達市","幌美内町３６番地５８新棟１階","0142-23-3549","0142-23-3789",,42.47639040,140.90704262,"","","","",,,30
"01100","E0000009759","札幌市","札幌市","さっぽろし","9000020011002","北海道札幌市中央区","北１条西２丁目札幌市役所本庁舎","011-211-2111",,"https://www.city.sapporo.jp/","福祉型障害児入所施設","札幌市自閉症児支援センター","さっぽろしじへいしょうじしえんせんたー","0150503233","北海道札幌市豊平区","平岸４条１８丁目１−２１札幌市子ども発達支援総合センター内","011-821-0081","011-821-0082","",43.02048642,141.37112401,"","","","",,,27
"01100","A0000011301","札幌市","社会福祉法人　北海道社会福祉事業団","しゃかいふくしほうじんほっかいどうしゃかいふくしじぎょうだん","3430005000676","北海道札幌市中央区","大通西５丁目１１番地大五ビル6階","011-271-5531","011-271-5539","http://www.dofukuji.or.jp","福祉型障害児入所施設","北海道社会福祉事業団もなみ学園","ほっかいどうしゃかいふくしじぎょうだんもなみがくえん","0150501112","北海道札幌市南区","石山東５丁目６番１号北海道社会福祉事業団もなみ学園","011-591-8434","011-591-4330","http://www.dofukuji.or.jp/facilities/monami_gakuen/",42.96103390,141.34462067,"","","","",,,56
"01100","E0000009702","札幌市","札幌療育会","さっぽろりょういくかい","2430005000669","北海道札幌市清田区","真栄483番地4ノビロ学園","0118873300","0118867567","https://nobiro.jp","福祉型障害児入所施設","ノビロ学園","のびろがくえん","0150501146","北海道札幌市清田区","真栄４８３番地４ノビロ学園","011-887-3300","011-886-7567",,42.96693580,141.43030021,"","","","",,,45
"01000","A0000002873","北海道","社会福祉法人　室蘭言泉学園","しゃかいふくしほうじんむろらんげんせんがくえん","3430005009899","北海道室蘭市","母恋北町１丁目４番２号","0143-50-6720","0143-50-6720","http://www5.plala.or.jp/gensen/","福祉型障害児入所施設","障害児入所施設室蘭言泉学園","しょうがいじにゅうしょしせつむろらんげんせんがくえん","0153501614","北海道室蘭市","母恋南町５丁目５番39号","0143-22-3037","0143-22-3037",,42.30848463,140.99723956,"","","","",,,30
"01000","A0000003900","北海道","社会福祉法人　帯広福祉協会","しゃかいふくしほうじんおびひろふくしきょうかい","4460105000457","北海道帯広市","西二十五条南４丁目１０番地の２","0155-37-5777","0155-37-5783","http://obifuku.jp/","福祉型障害児入所施設","つつじヶ丘学園","つつじがおかがくえん","0154601207","北海道帯広市","西二十五条南４丁目１０番地","0155-37-3029","0155-37-6310","",42.91020837,143.11177705,"","","","",,,30
"01000","A0000048076","北海道","社会福祉法人　川東の里","しゃかいふくしほうじんかわひがしのさと","6460305001261","北海道北見市","川東２２６番地２","0157-24-3030","0157-24-5928","http://kawahigashinosato.jp/","福祉型障害児入所施設","きたみ学園","きたみがくえん","0155001217","北海道北見市","川東２２６番地２","0157-24-2701","0157-24-2705",,43.81805859,143.93906011,"","","","",,,7
"01000","A0000106900","北海道","社会福祉法人　侑愛会","しゃかいふくしほうじんゆうあいかい","2440005000354","北海道北斗市","追分７丁目８番９号","0138-49-2581","0138-49-4796","https://www.yuai.jp/","福祉型障害児入所施設","おしま学園","おしまがくえん","0151501285","北海道北斗市","当別697番地","0138-75-2211","0138-75-3463","https://www.yuai.jp/info/office/358",41.75194380,140.58081848,"","","","",,,30
"01000","A0000112629","北海道","社会福祉法人　黒松内つくし園","しゃかいふくしほうじんくろまつないつくしえん","5440005002190","北海道寿都郡黒松内町","字黒松内５６２番地１","0136-77-2833","0136-75-7211","https://www.tsukushien.or.jp","福祉型障害児入所施設","しりべし学園","しりべしがくえん","0152101291","北海道寿都郡黒松内町","黒松内565番地2","0136723173",,,42.65875107,140.31275838,"","","","",,,30
"01000","A0000108767","北海道","社会福祉法人　北光福祉会","しゃかいふくしほうじんほっこうふくしかい","2460305000960","北海道紋別郡遠軽町","生田原安国３０２番地７ひまわり学園内","0158-46-2120","0158-46-2080","http://www.hokko-fukushi.or.jp/office/","福祉型障害児入所施設","ひまわり学園","ひまわりがくえん","0155401318","北海道紋別郡遠軽町","生田原安国320番地7","0158-46-2020",,,43.98562496,143.53274001,"","","","",,,
