"都道府県コード又は市区町村コード","NO（※システム内の固有の番号、連番）","指定機関名","法人の名称","法人の名称_かな","法人番号","法人住所（市区町村）","法人住所（番地以降）","法人電話番号","法人FAX番号","法人URL","サービス種別","事業所の名称","事業所の名称_かな","事業所番号","事業所住所（市区町村）","事業所住所（番地以降）","事業所電話番号","事業所FAX番号","事業所URL","事業所緯度","事業所経度","利用可能な時間帯（平日）","利用可能な時間帯（土曜）","利用可能な時間帯（日曜）","利用可能な時間帯（祝日）","定休日","利用可能曜日特記事項（留意事項）","定員"
"01100","A0000046006","札幌市","札幌市","さっぽろし","9000020011002","北海道札幌市中央区","北１条西２丁目札幌市役所本庁舎","011-211-2111","","https://www.city.sapporo.jp/","居宅訪問型児童発達支援","居宅訪問型児童発達支援　みかほ","きょたくほうもんがたじどうはったつしえんみかほ","0150202810","北海道札幌市東区","北十七条東５丁目２−１","011-731-5674","011-731-5673","",43.08299855,141.35890766,"09:00-15:00","","","","土、日、祝日",,
"01100","A0000055056","札幌市","特定非営利活動法人ソルウェイズ","とくていひえいりかつどうほうじんそるうぇいず","6430005013015","北海道札幌市中央区","北十条西１９丁目１−１越後屋ビル","011-839-1844","011-839-1844","http://solways.or.jp/","居宅訪問型児童発達支援","居宅訪問型児童発達支援事業所　バンビ","きょたくほうもんがたじどうはったつしえんじぎょうしょばんび","0150700672","北海道札幌市中央区","北１０条西１９丁目１−１　","011-676-4557","011-676-4557","http://solways.or.jp/",43.06987924,141.32433345,"","","","",,,
"01100","A0000026959","札幌市","株式会社　ホーム","かぶしきがいしゃほーむ","1430001074503","北海道札幌市北区","札幌市北区新琴似１条３丁目２番１６号","011-788-7263","011-788-7268",,"居宅訪問型児童発達支援","ｇａｒｄｅｎ","がーでん","0150301059","北海道札幌市東区","伏古１０条２丁目１９番１３号","011-792-5578","011-792-5579",,43.09486196,141.39594802,"09:00-18:00","","","","土曜日、日曜日、祝祭日","８月１３日から８月１６日、１２月３０日から１月３日を除く",
"01100","A0000002787","札幌市","社会福祉法人　麦の子会","しゃかいふくしほうじんむぎのこかい","1430005000612","北海道札幌市東区","北３６条東９丁目2−28","011-788-6626","011-755-6629","http://muginoko.com/","居宅訪問型児童発達支援","居宅訪問型児童発達支援　むぎのこ","きょたくほうもんがたじどうはったつしえんむぎのこ","0150201523","北海道札幌市東区","北３６条東８丁目１−３０","011-753-6468","011-753-6469",,43.10607309,141.35855584,"09:00-17:00","00:00-00:00","00:00-00:00","00:00-00:00","日曜日、国民の休日、年末年始（12月29日〜1月3日）夏季休暇（8月12日〜16",,
"01100","A0000026942","札幌市","合同会社　ペン具","ごうどうかいしゃぺんぐ","4430000300403","北海道札幌市豊平区","美園２条５丁目４番６号","011-841-3779","011-841-3779","http://www.peng.co.jp","居宅訪問型児童発達支援","ペングアート北野","ぺんぐあーときたの","0150900413","北海道札幌市清田区","北野２条３丁目３−７","011-375-8750","011-867-9350","http://www.peng.co.jp",43.01072822,141.43455247,"","","","",,,
"01100","A0000003657","札幌市","合同会社　北海道療育研究所","ごうどうがいしゃほっかいどうりょういくけんきゅうじょ","4430003006385","北海道札幌市西区","発寒６条１２丁目４番５３−２号","011-590-1152","011-590-1153","https://shienkodomo.com/hoshi","居宅訪問型児童発達支援","こども支援ルーム星置","こどもしえんるーむほしおき","0150900454","北海道札幌市手稲区","星置１条４丁目７番２号","011-590-0533","011-590-0544","https://shienkodomo.com/hoshi",43.13344617,141.20907493,"08:30-17:00","","","","日曜、祝日、お盆、年末年始","必要に応じて、上記以外の時間も利用可能",
"01100","A0000080164","札幌市","株式会社　はこぶね","かぶしきがいしゃはこぶね","9450001006059","北海道札幌市清田区","北野三条２丁目１１番１５号","011-876-9670","011-876-9645","https://hakobunewakka.wixsite.com/website","居宅訪問型児童発達支援","居宅訪問型児童発達支援　ワッカ","きょたくほうもんがたじどうはったつしえんわっか","0150503597","北海道札幌市清田区","北野３条２丁目１１−１５北野ビル2階","011-876-9670","011-876-9645","https://hakobunewakka.wixsite.com/website",42.99981585,141.44361611,"10:00-12:00","","","",,"営業日は、月・木曜日　※祝日、年末年始（12月31日〜1月3日）を除く",
"01204","A0000030706","旭川市","株式会社 湧心","かぶしきがいしゃゆうしん","1450001011925","北海道旭川市","春光６条４丁目３番５号","0166-76-6608","0166-76-6609",,"居宅訪問型児童発達支援","重度障がい児支援　花色","じゅうどしょうがいじしえんはないろ","0152903647","北海道旭川市","春光６条４丁目３番５号","0166-73-8786","0166-73-8846","https://hanailo.meityo.com",43.80314223,142.35610889,"10:00-16:00","10:00-16:00","","","日曜日、祝日、年末年始、研修日",,
"01000","A0000068044","北海道","特定非営利活動法人　Ｕ−ｍｉｔｔｅ","とくていひえいりかつどうほうじんゆーみって","2460105002190","北海道帯広市","清流東２丁目１５番地１","0155-48-8009","","https://u-mitte.jp","居宅訪問型児童発達支援","重症児デイサービス　プエオキッズ","じゅうしょうじでいさーびすぷえおきっず","0154602338","北海道帯広市","西五条南４１丁目１番地１０","0155-29-3067","0155-29-1860",,42.88329276,143.20205680,"","","","",,,
"01000","A0000055949","北海道","留萌市","るもいし","2000020012122","北海道留萌市","幸町1丁目11番地","0164-42-1801","0164-43-8778","","居宅訪問型児童発達支援","留萌市子ども発達支援センター","るもいしこどもはったつしえんせんたー","0156400095","北海道留萌市","沖見町4丁目62番地8","0164-42-1109","0164-43-5410",,43.92817356,141.63512667,"","","","",,,
"01000","A0000046203","北海道","一般社団法人りあん","いっぱんしゃだんほうじんりあん",,"北海道苫小牧市","三光町３丁目１６番１１号","0144-35-6044","0144-35-6044",,"居宅訪問型児童発達支援","りあん","りあん","0153600127","北海道苫小牧市","ときわ町４丁目２４番１３号","0144-61-1216","0144-61-1216","",42.61615235,141.51014167,"","","","",,,
