"都道府県コード又は市区町村コード","NO（※システム内の固有の番号、連番）","指定機関名","法人の名称","法人の名称_かな","法人番号","法人住所（市区町村）","法人住所（番地以降）","法人電話番号","法人FAX番号","法人URL","サービス種別","事業所の名称","事業所の名称_かな","事業所番号","事業所住所（市区町村）","事業所住所（番地以降）","事業所電話番号","事業所FAX番号","事業所URL","事業所緯度","事業所経度","利用可能な時間帯（平日）","利用可能な時間帯（土曜）","利用可能な時間帯（日曜）","利用可能な時間帯（祝日）","定休日","利用可能曜日特記事項（留意事項）","定員"
"01100","E0000001840","札幌市","社会福祉法人北翔会","しゃかいふくしほうじんほくしょうかい","6430005000599","北海道札幌市白石区","川北２２５４番地１","011-879-5555","011-879-5533","https://hokushokai.com/","療養介護","医療福祉センター札幌あゆみの園","いりょうふくしせんたーさっぽろあゆみのその","0110504800","北海道札幌市白石区","川北２２５４番地１医療福祉センター札幌あゆみの園","011-879-5555","011-879-5511","http://www.hokushokai.com",43.07140791,141.43928755,"","","","",,,184
"01000","E0000003069","北海道","社会福祉法人　札幌緑花会","しゃかいふくしほうじんさっぽろりょくかかい","8430005000671","北海道札幌市西区","山の手三条","011-611-9301","011-621-7404","http://www.ryokkakai.or.jp/","療養介護","大倉山学院","おおくらやまがくいん","0112000724","北海道小樽市","見晴町２０番２号","0134-62-2510","0134-62-5125","https://sites.google.com/site/ookurayamachisanamuraringo/",43.13453612,141.16739516,"","","","",,,160
"01100","E0000001172","札幌市","社会福祉法人　札幌緑花会","しゃかいふくしほうじんさっぽろりょっかかい","8430005000671","北海道札幌市西区","山の手三条１２丁目３番１２号","011-611-9301","011-621-7404","http://www.ryokkakai.or.jp/inquiry/","療養介護","緑ヶ丘療育園","みどりがおかりょういくえん","0110402385","北海道札幌市西区","山の手３条１２丁目３番１２号","011-611-9301","011-621-7404",,43.06429534,141.28815363,"","","","",,,160
"01000","E0000002904","北海道","独立行政法人　国立病院機構函館病院","どくりつぎょうせいほうじんこくりつびょういんきこうはこだてびょういん",,"北海道函館市","川原町１８番１６号","0138-51-6281","0138-51-6288","http://www.yakumo-hosp.jp/","療養介護","独立行政法人国立病院機構八雲病院","どくりつぎょうせいほうじんこくりつびょういんきこうやくもびょういん","0111500872","北海道二海郡八雲町","宮園町１２８番地","0137-63-2126","0137-64-2715","http://www.yakumo-hosp.jp/",42.25173230,140.26143460,"","","","",,,120
"01000","E0000002996","北海道","社会福祉法人恩賜財団済生会支部北海道済生会","しゃかいふくしほうじんおんしざいだんさいせいかいしぶほっかいどうさいせいかい","3010405001696","北海道小樽市","築港１０番１号","0134-25-4321","0134-25-2888",,"療養介護","社会福祉法人恩賜財団済生会支部北海道済生会小樽病院みどりの里","しゃかいふくしほうじんおんしざいだんさいせいかいしぶほっかいどうさいせいかいおたるびょういんみど","0112000120","北海道小樽市","築港１０番１号","0134-32-5131","0134-29-2164","http://www.saisei-nishiotaru.jp",43.18414009,141.01893241,"","","","",,,120
"01000","E0000005154","北海道","社会福祉法人　北海道療育園","しゃかいふくしほうじんほっかいどうりょういくえん","2450005000270","北海道旭川市","春光台４条１０丁目","0166-51-6524","0166-51-6871","http://www.hokuryo.or.jp/","療養介護","美幌療育病院","びほろりょういくびょういん","0115200057","北海道網走郡美幌町","美幌町字美富９番地","0152-73-3145","0152-73-5298","http://www.bihoro-ryoiku.jp/hospital/",43.81576555,144.10257788,"","","","",,,120
"01204","E0000003460","旭川市","社会福祉法人　北海道療育園","しゃかいふくしほうじんほっかいどうりょういくえん","2450005000270","北海道旭川市","春光台４条１０丁目","0166-51-6524","0166-51-6871","http://www.hokuryo.or.jp/","療養介護","北海道療育園","ほっかいどうりょういくえん","0112907357","北海道旭川市","春光台4条１０丁目","0166-51-6524","0166-51-6871","http://www.hokuryo.or.jp/",43.82981540,142.36818130,"","","","",,,336
"01204","E0000003214","旭川市","独立行政法人国立病院機構旭川医療センター","どくりつぎょうせいほうじんこくりつびょういんきこうあさひかわいりょうせんたー","1013205001281","北海道旭川市","花咲町7丁目4048番地","0166-51-3161","0166-53-9184","https://asahikawa.hosp.go.jp/","療養介護","独立行政法人国立病院機構旭川医療センター","どくりつぎょうせいほうじんこくりつびょういんきこうあさひかわいりょうせんたー","0112900014","北海道旭川市","花咲町7丁目4048番地","0166-51-3161","0166-53-9184","https://asahikawa.hosp.go.jp/",43.79802220,142.38098280,"","","","",,,40
"01000","E0000004695","北海道","独立行政法人　国立病院機構帯広病院","どくりつぎょうせいほうじんこくりつびょういんきこうおびひろびょういん","1013205001281","北海道帯広市","西十八条北２丁目１６番地","0155-33-3155","0155-33-3397","","療養介護","独立行政法人　国立病院機構帯広病院","どくりつぎょうせいほうじんこくりつびょういんきこうおびひろびょうい","0114601156","北海道帯広市","西十八条北２丁目１６番地","0155-33-3155","0155-33-3397",,42.93669229,143.16175016,"","","","","","",
"02201","E0000011263","青森市","独立行政法人国立病院機構青森病院","どくりつぎょうせいほうじんこくりつびょういんきこうあおもりびょういん","1013205001281","青森県青森市","浪岡女鹿沢字平野１５５−１","0172-62-4055","0172-62-7289","http://www.nhoaomori.jp/","療養介護","独立行政法人国立病院機構青森病院","どくりつぎょうせいほうじんこくりつびょういんきこうあおもりびょういん","0210100145","青森県青森市","浪岡女鹿沢字平野１５５−１","0172-62-4055","0172-62-7289","http://www.nhoaomori.jp/",40.70920390,140.57115870,"","","","","","",
"02203","E0000011832","八戸市","青森県（指定管理者）","あおもりけんしていかんりしゃ",,"青森県青森市","長島一丁目1-1","0177349308","0177348092",,"療養介護","青森県立はまなす医療療育センター","あおもりけんりつはまなすいりょうりょういくせんたー","0210300067","青森県八戸市","大久保字大塚１７の７２９","0178-31-5005","0178-31-4144",,40.49119910,141.56402760,"","","","",,,40
"02203","E0000011942","八戸市","青森県（指定管理者）","あおもりけんしていかんりしゃ",,"青森県青森市","長島一丁目1-1","0177349308","0177348092",,"療養介護","青森県立はまなす医療療育センター","あおもりけんりつはまなすいりょうりょういくせんたー","0210301198","青森県八戸市","大久保字大塚１７−７２９","0178-31-5005","0178-31-4144",,40.49119910,141.56402760,"","","","",,,42
"02203","E0000011941","八戸市","独立行政法人国立病院機構八戸病院","どくりつぎょうせいほうじんこくりつびょういんきこうはちのへびょういん","1013205001281","青森県八戸市","吹上３丁目１３の１","0178-45-6111","0178-43-7814",,"療養介護","独立行政法人国立病院機構八戸病院","どくりつぎょうせいほうじんこくりつびょういんきこうはちのへびょういん","0210301180","青森県八戸市","吹上三丁目１３−１","0178-45-6111","0178-43-7814",,40.49936583,141.49482879,"","","","","","",
"03201","A0000030725","盛岡市","独立行政法人国立病院機構盛岡医療センター","どくりつぎょうせいほうじんこくりつびょういんきこうもりおかいりょうせんたー","1013205001281","岩手県盛岡市","青山一丁目25番１号","019-647-2195","019-646-1195","https://morioka.hosp.go.jp/index.html","療養介護","独立行政法人国立病院機構盛岡医療センター","どくりつぎょうせいほうじんこくりつびょういんきこうもりおかいりょうせんたー","0310101928","岩手県盛岡市","青山一丁目25番１号","019-647-2195","019-646-1195",,39.72333536,141.11073144,"","","","",,,40
"03000","E0000013879","岩手県","独立行政法人国立病院機構花巻病院","どくりつぎょうせいほうじんこくりつびょういんきこうはなまきびょういん","1013205001281","岩手県花巻市","諏訪500番地","0198-24-0511","0198-24-1721","https://hanamaki.hosp.go.jp/","療養介護","独立行政法人国立病院機構花巻病院","どくりつぎょうせいほうじんこくりつびょういんきこうはなまきびょういん","0310500384","岩手県花巻市","諏訪500番地","0198-24-0511","0198-24-1721","https://hanamaki.hosp.go.jp/",39.36899160,141.10831345,"","","","",,,60
"03000","E0000014025","岩手県","独立行政法人国立病院機構","どくりつぎょうせいほうじんこくりつびょういんきこう","1013205001281","岩手県一関市","山目字泥田山下４８","0191-25-2221","0191-25-2157","","療養介護","独立行政法人国立病院機構　岩手病院","どくりつぎょうせいほうじんこくりつびょういんきこういわてびょういん","0310900220","岩手県一関市","山目字泥田山下４８","0191-25-2221","0191-25-2157","",38.93943642,141.11519818,"","","","",,,150
"03000","E0000014121","岩手県","独立行政法人国立病院機構釜石病院","どくりつぎょうせいほうじんこくりつびょういんきこうかまいしびょういん","1013205001281","岩手県釜石市","定内町４丁目７番１号","0193-23-7111","0193-25-1820","http://www.nhokamaishi.jp/","療養介護","独立行政法人国立病院機構釜石病院","どくりつぎょうせいほうじんこくりつびょういんきこうかまいしびょういん","0311100218","岩手県釜石市","定内町４丁目７番１号","0193-23-7111","0193-25-1820","http://www.nhokamaishi.jp/",39.25022090,141.83584140,"","","","",,,80
"03000","E0000014297","岩手県","社会福祉法人　新生会","しゃかいふくしほうじんしんせいかい","4400005002402","岩手県紫波郡矢巾町","室岡１２−１２８−１法人本部事務局","019-611-0242","019-611-0252","https://www.i-shinseikai.jp/","療養介護","みちのく療育園メディカルセンター","みちのくりょういくえんめでぃかるせんたー","0312205156","岩手県紫波郡矢巾町","煙山２４−１みちのく療育園メディカルセンター","019-611-0600","019-611-0601","https://www.i-shinseikai.jp/",39.60599119,141.14295229,"","","","",,,60
