"都道府県コード又は市区町村コード","NO（※システム内の固有の番号、連番）","指定機関名","法人の名称","法人の名称_かな","法人番号","法人住所（市区町村）","法人住所（番地以降）","法人電話番号","法人FAX番号","法人URL","サービス種別","事業所の名称","事業所の名称_かな","事業所番号","事業所住所（市区町村）","事業所住所（番地以降）","事業所電話番号","事業所FAX番号","事業所URL","事業所緯度","事業所経度","利用可能な時間帯（平日）","利用可能な時間帯（土曜）","利用可能な時間帯（日曜）","利用可能な時間帯（祝日）","定休日","利用可能曜日特記事項（留意事項）","定員"
"01100","A0000026976","札幌市","社会福祉法人　緑伸会","しゃかいふくしほうじんりょくしんかい","2430005013423","北海道札幌市中央区","札幌市中央区大通西１０丁目４番地ダンロップSKビル","011-261-1313","011-251-3132","https://ryoku-sin.or.jp/","地域相談支援（地域移行支援）","相談室ぴあ","そうだんしつぴあ","0130103658","北海道札幌市東区","北２６条東１５丁目１−４０ローヤルハイツ２６　７Ｆ","011-374-1360","011-374-1360","",43.09654987,141.37033887,"09:00-17:00","","","","土曜日、日曜日、祝祭日、年末年始（１２月２９日~１月３日）",,
"01100","A0000074696","札幌市","株式会社ポロワッカ","かぶしきがいしゃぽろわっか","9430001063291","北海道札幌市中央区","南２条西２４丁目２−１７河村ビル","011-624-0660","011-624-0661","https://porowakka.co.jp/","地域相談支援（地域移行支援）","相談室Ｑ","そうだんしつきゅー","0130103716","北海道札幌市中央区","南四条西２４丁目１−１８ドエル南円山８０３","011-624-0660","011-624-0661","",43.05243958,141.32177104,"","","","","土曜、日曜、祝日、国民の休日、他",,
"01100","A0000038654","札幌市","株式会社　フォアヴェルツ","かぶしきがいしゃふぉあべるつ","0430001077163","北海道札幌市中央区","北１条西３丁目３番２５号荒巻時計台前ビル３階","011-213-1340","011-213-1341","http://vorwaerts-ag.com/","地域相談支援（地域移行支援）","相談室　いろどり","そうだんしついろどり","0130103674","北海道札幌市中央区","北１条西３丁目３番２５号荒巻時計台前ビル３階","011-213-1340","011-213-1341",,43.06287841,141.35232617,"","","","",,,
"01100","A0000039801","札幌市","Ｂ　ａｎｄ　Ｂ合同会社","びーあんどびーごうどうがいしゃ","6430003011086","北海道札幌市中央区","南１４条西１６丁目１番３１号","011-200-9317","011-200-9317","http://soudanclover.com","地域相談支援（地域移行支援）","相談支援事業所クローバー","そうだんしえんじぎょうしょくろーばー","0130103682","北海道札幌市中央区","南１４条西１６丁目１番３１号","011-200-9317","011-200-9317","http://soudanclover.com",43.04125243,141.33427903,"08:00-17:15","","","","８/１２〜１５．１２/２９〜１/３．国民の祝日及び土日を除く。その他不定休とする",,
"01000","E0000008879","北海道","社会福祉法人　北海道社会福祉事業団","しゃかいふくしほうじんほっかいどうしゃかいふくしじぎょうだん","3430005000676","北海道札幌市中央区","大通西５丁目１１番地大五ビル6階","011-271-5531","011-271-5539","http://www.dofukuji.or.jp/","地域相談支援（地域移行支援）","伊達市障がい者総合相談支援センター「あい」","だてししょうがいしゃそうごうそうだんしえんせんたーあい","0133700211","北海道伊達市","舟岡町134−15　だて地域生活支援センターｕｍｉ1階","0142-25-3838","0142-25-3838","http://www.dofukuji.or.jp/ai",42.46213311,140.88079176,"00:00-23:59","00:00-23:59","00:00-23:59","00:00-23:59","土曜、祝日、年末年始","営業時間外については、電話による相談対応",
"01000","E0000008882","北海道","社会福祉法人　北海道社会福祉事業団","しゃかいふくしほうじんほっかいどうしゃかいふくしじぎょうだん","3430005000676","北海道札幌市中央区","大通西５丁目１１番地大五ビル6階","011-271-5531","011-271-5539","http://www.dofukuji.or.jp/","地域相談支援（地域移行支援）","胆振圏域障がい者総合相談支援センターるぴなす","いぶりけんいきしょうがいしゃそうごうそうだんしえんせんたーるぴなす","0133700229","北海道伊達市","舟岡町１３４−１５","0142-22-3200","0142-82-3931","http://www.dofukuji.or.jp/facilities/rupinas/",42.46213311,140.88079176,"08:30-17:00","","","","土日祝祭日、１２月２９日から１月３日まで","営業時間のほか、携帯電話等により２４時間常時連絡が可能な体制",
"01000","E0000008934","北海道","社会福祉法人　北海道社会福祉事業団","しゃかいふくしほうじんほっかいどうしゃかいふくしじぎょうだん","3430005000676","北海道札幌市中央区","大通西５丁目１１番地大五ビル6階","011-271-5531","011-271-5539","http://www.dofukuji.or.jp/","地域相談支援（地域移行支援）","根室圏域障害者総合相談支援センター「あくせす根室」","ねむろけんいきしょうがいしゃそうごうそうだんしえんせんたーあくせすねむろ","0134200153","北海道標津郡中標津町","東４条南４丁目９番地１共生型交流センター内","0153-73-3178","0153-72-3179","http://www.dofukuji.or.jp/facilities/accessnamuro/",43.55524230,144.97139150,"","","","","土、日、国民の祝日",,
"01000","E0000008947","北海道","社会福祉法人　北海道社会福祉事業団","しゃかいふくしほうじんほっかいどうしゃかいふくしじぎょうだん","3430005000676","北海道札幌市中央区","大通西５丁目１１番地大五ビル6階","011-271-5531","011-271-5539","http://www.dofukuji.or.jp/","地域相談支援（地域移行支援）","相談支援センター「あ〜かす」","そうだんしえんせんたーあーかす","0134300516","北海道釧路郡釧路町","東陽大通西１丁目１番地１釧路町保健福祉センターあいぱーる","0154-40-1301","0154-40-1302",,42.99716885,144.43510705,"08:45-17:30","","","","土曜日・日曜日・国民の祝日・年末年始",,
"01000","E0000009126","北海道","社会福祉法人　北海道社会福祉事業団","しゃかいふくしほうじんほっかいどうしゃかいふくしじぎょうだん","3430005000676","北海道札幌市中央区","大通西５丁目１１番地大五ビル6階","011-271-5531","011-271-5539","http://www.dofukuji.or.jp/","地域相談支援（地域移行支援）","相談室あ〜ち","そうだんしつあーち","0135700318","北海道岩見沢市","大和一条7丁目1-21","0126-38-4191","0126-38-4452",,43.19063796,141.73954723,"09:00-17:00","","","","土曜　日曜　祝日　年末年始","営業時間外は携帯電話（転送）にて対応",
"01100","A0000039805","札幌市","合同会社　さっぽろ社会福祉活動事務所","ごうどうがいしゃさっぽろしゃかいふくしかつどうじむしょ","8430003002249","北海道札幌市中央区","南１１条西１丁目５−１６カサウィスタリア２２７号","011-520-2771","011-520-2777","https://www.sapporo-fukushi.net/","地域相談支援（地域移行支援）","にし社会福祉士事務所","にししゃかいふくししじむしょ","0130701014","北海道札幌市西区","発寒５条４丁目１−３３ＰＬＡＣＥ　５４　１０３号","011-676-6069","011-676-6079",,43.08647619,141.29211856,"09:00-18:00","","","","土曜日・日曜日・祝日",,
