"都道府県コード又は市区町村コード","NO（※システム内の固有の番号、連番）","指定機関名","法人の名称","法人の名称_かな","法人番号","法人住所（市区町村）","法人住所（番地以降）","法人電話番号","法人FAX番号","法人URL","サービス種別","事業所の名称","事業所の名称_かな","事業所番号","事業所住所（市区町村）","事業所住所（番地以降）","事業所電話番号","事業所FAX番号","事業所URL","事業所緯度","事業所経度","利用可能な時間帯（平日）","利用可能な時間帯（土曜）","利用可能な時間帯（日曜）","利用可能な時間帯（祝日）","定休日","利用可能曜日特記事項（留意事項）","定員"
"01100","A0000105598","札幌市","株式会社　キャリアエディション","かぶしきがいしゃきゃりあえでぃしょん","9430001076731","北海道札幌市中央区","北４条西６丁目１番地毎日札幌会館４階","011-522-8753","011-522-8769","https://career-edition.info/","就労移行支援","キャリアエディション","きゃりあえでぃしょん","0110103470","北海道札幌市中央区","大通西１丁目１３番地ル・トロワ８階","011-215-0440","011-215-0441",,43.05778672,141.33635001,"10:00-17:00","10:00-17:00","10:00-17:00","10:00-17:00","年末年始",,
"01100","A0000038652","札幌市","株式会社　フォアヴェルツ","かぶしきがいしゃふぉあべるつ","0430001077163","北海道札幌市中央区","北１条西３丁目３番２５号荒巻時計台前ビル３階","011-213-1340","011-213-1341","http://vorwaerts-ag.com/","就労移行支援","ディーキャリア札幌オフィス","でぃーきゃりあさっぽろおふぃす","0110103785","北海道札幌市中央区","北１条西３丁目３番２５号荒巻時計台前ビル３階","011-213-1340","011-213-1341","http://vorwaerts-ag.com/",43.06287841,141.35232617,"10:00-16:00","10:00-16:00","10:00-16:00","10:00-16:00","日曜","土曜・日曜・祝日は休日の場合があります。ご利用の際は事前にご確認ください。",20
"01100","A0000059920","札幌市","株式会社　フォアヴェルツ","かぶしきがいしゃふぉあべるつ","0430001077163","北海道札幌市中央区","北１条西３丁目３番２５号荒巻時計台前ビル３階","011-213-1340","011-213-1341","http://vorwaerts-ag.com/","就労移行支援","ディーキャリアＩＴエキスパート　札幌大通オフィス","でぃきゃりああいてぃえきすぱーとさっぽろおおどおりおふぃす","0110104114","北海道札幌市中央区","南二条西３丁目１２番地５Ｋ２　ＳＱＵＡＲＥビル５Ｆ","011-211-8292","011-211-8293","https://dd-career.com/office_data/it-sapporoodori/",43.05820399,141.35386243,"10:00-16:00","","","",,,20
"01100","A0000095393","札幌市","株式会社　フォアヴェルツ","かぶしきがいしゃふぉあべるつ","0430001077163","北海道札幌市中央区","北１条西３丁目３番２５号荒巻時計台前ビル３階","011-213-1340","011-213-1341","http://vorwaerts-ag.com/","就労移行支援","ディーキャリアＩＴエキスパート　札幌駅北口オフィス","でぃーきゃりああいてぃーえきすぱーとさっぽろえききたぐちおふぃす","0110205473","北海道札幌市北区","北七条西４丁目４番地１第五北海道通信ビル４階","011-214-1530","011-214-1531","https://dd-career.com/ad/itex/it-sapporo-kitaguchi/",43.09064413,141.34059480,"10:00-16:00","","","",,,20
"01100","A0000121077","札幌市","株式会社　リベラ","かぶしきがいしゃりべら","1430001081037","北海道札幌市中央区","北二条西９丁目-4","011-213-1525","011-213-1525","https://www.shurosihen-b-libera.com/","就労移行支援","就労移行支援リベラ","しゅうろういこうしえんりべら","0110103850","北海道札幌市中央区","北２条西９丁目インファス３階","011-213-1525","011-213-1525","https://www.shuroshien-b-libera.com/",43.06280861,141.34269917,"09:00-18:00","09:00-18:00","","","毎週日曜日","営業日や営業時間が変動する場合がある",6
"01100","A0000068216","札幌市","株式会社ティ−エス","かぶしきかいしゃてぃーえす","5430001080480","北海道札幌市中央区","南一条西６丁目４−１９旭川信金ビル５階","011-788-9072","011-788-9073",,"就労移行支援","就労移行ＩＴスクール札幌","しゅうろういこうあいてぃすくーるさっぽろ","0110104262","北海道札幌市中央区","南１条西６丁目４−１９旭川信金ビル７階","011-788-9072","011-788-9073","https://snabi.jp/facility/22854",43.05528160,141.34107760,"10:00-15:00","10:00-12:00","","10:00-15:00","日曜・年末年始（12月30日〜1月4日）","土曜日は不定期開所",20
"01100","A0000135678","札幌市","株式会社ＬＩＦＥ ＰＲＯＯＦ","かぶしきがいしゃらいふぷるーふ","2430001088320","北海道札幌市中央区","南五条西２丁目９−２ＬＣ拾七番館１Ｆ","08045056468","","","就労移行支援","就労サポートセンターＳＴＥＰ","しゅうろうさぽーとせんたーすてっぷ","0110105194","北海道札幌市中央区","南五条西２丁目９−２ＬＣ拾七番館１Ｆ","08045056468",,,43.05519051,141.35593466,"","","","",,,
"01100","A0000023829","札幌市","一般社団法人　北海道社会福祉センター","いっぱんしゃだんほうじんほっかいどうしゃかいふくしせんたー","1430005013465","北海道札幌市中央区","南一条西１１丁目３２７−４南一条西１１丁目３２７−４　シティセンタービル１F","011-522-9370","011-522-9371","https://tio-sapporo.jp","就労移行支援","ティオ中央区役所前","てぃおちゅうおうくやくしょまえ","0110103587","北海道札幌市中央区","南１条西１１丁目３２７−４シティセンタービル１階１０１号室","011-522-9370","011-522-9371","https://tio-sapporo.jp/",43.05721169,141.34089234,"10:00-15:00","10:00-15:00","","10:00-15:00","日曜日",,20
"01100","A0000074634","札幌市","一般社団法人　北海道社会福祉センター","いっぱんしゃだんほうじんほっかいどうしゃかいふくしせんたー","1430005013465","北海道札幌市中央区","南一条西１１丁目３２７−４南一条西１１丁目３２７−４　シティセンタービル１F","011-522-9370","011-522-9371","https://tio-sapporo.jp","就労移行支援","ティオ札幌駅前","てぃおさっぽろえきまえ","0110205267","北海道札幌市北区","北六条西６丁目２番地１１第３山﨑ビル３階２・３号室","011-299-2745","011-299-2746","https://tio-sapporo.jp/",43.06811927,141.34655572,"10:00-15:00","10:00-15:00","","10:00-15:00","日曜定休",,20
"01100","E0000000186","札幌市","医療法人社団　健心会","いりょうほうじんしゃだんけんしんかい","2430005001709","北海道札幌市中央区","北12条西15丁目1番30号桑園病院","011-716-2497","011-716-2358","http://www.soen-hosp.com","就労移行支援","ソエル","そえる","0110101912","北海道札幌市中央区","北１２条西１５丁目１番8号","011-716-5711","011-716-5712","http://soel-soen.com",43.07329574,141.32985506,"09:30-15:00","","","","土、日、祝日、6/15、8/15、12/29〜1/3",,6
